FinalID,sch_start_B_0,sch_start_E,sch_start_E_h,sch_start_T_h,bri_start_B_0,bri_start_T_0,bri_start_T_m,cub_start_B_0,cub_start_B_1,cub_start_B_2,cub_start_B_3,sch_final_B_0,sch_final_E,sch_final_E_h,sch_final_T_h,bri_final_B_0,bri_final_T_0,bri_final_T_m,cub_final_B_0,cub_final_B_1,cub_final_B_2,cub_final_B_3,Est_Tpk,Max_response,sch_R_Squared,sch_AICc,sch_BIC,bri_R_Squared,bri_AICc,bri_BIC,cub_R_Squared,cub_AICc,cub_BIC,sch_delta_AICc,bri_delta_AICc,cub_delta_AICc,sch_Wi_AICc,bri_Wi_AICc,cub_Wi_AICc,Number_Of_Data_Points,Points_Before_Peak,Points_After_Peak
MTD2071,0.057999999999999996,0.66,1.15,305.15,0.01,291.15,305.15,0.0,0.0,0.0,0.0,0.015182388615799616,1.1999999999999966,4.495066318250388,301.2517678377204,1.796257355160268e-05,288.49643733401723,305.4557075982495,3472.662431197558,-35.54810912476642,0.1212446609744025,-0.00013778139577353318,298.15,0.17,0.9615926470968809,-39.65640588587007,-59.87276528964882,0.8537897140718191,-44.29882704749061,-52.46109660032467,0.9133283574806637,-33.95926106699033,-54.175620470769076,4.64242116162054,0.0,10.339565980500282,0.08892108069735292,0.905927991608837,0.0051509276938100585,7.0,4.0,3.0
MTD2079,0.001,0.66,1.15,308.15,0.01,278.15,308.15,0.0,0.0,0.0,0.0,0.04688940563448406,0.8678877612095568,2.406689865238845,300.6500000079819,9.590526785609567e-06,280.0552187657456,309.0554056859655,720.766931496161,-7.55336537657861,0.026343197163095536,-3.0572689219015814e-05,300.65,0.18,0.8823957102688187,-78.07910592728764,-81.85376504242134,0.8705793127825969,-81.64447891171493,-83.18975896235092,0.9224134837226486,-83.07028823920463,-86.84494735433833,4.991182311916987,1.4258093274897021,0.0,0.0524254371026559,0.3117116016492016,0.6358629612481426,12.0,1.0,11.0
MTD2081,0.002,0.66,1.15,308.15,0.01,278.15,308.15,0.0,0.0,0.0,0.0,0.0778214402613485,0.2041875639386841,5.35557917340756,447.6266126164085,9.319568434353212e-06,280.05297173555863,308.90678217359476,770.0855761270703,-8.064527759499983,0.028108882490925,-3.260551232361194e-05,298.15,0.18,0.2364826401517235,-55.29153437872983,-59.066193493863544,0.8110387149693283,-76.76254459652493,-78.30782464716093,0.8862401038395755,-78.13768407875813,-81.91234319389183,22.8461497000283,1.3751394822331946,0.0,7.2797805315507755e-06,0.33457147869097986,0.6654212415284886,12.0,4.0,8.0
MTD2083,0.0,0.66,1.15,308.15,0.01,278.15,308.15,0.0,0.0,0.0,0.0,0.054836541233431686,0.7342319824721266,2.05690840430907,303.15000000489357,9.965715831079395e-06,280.4167677863359,310.94043118094373,650.5348627229267,-6.8084293533552644,0.02370797529998978,-2.7463682530527587e-05,303.15,0.19,0.8396696286361559,-71.3434841151715,-75.11814323030521,0.8925059649659924,-80.85538362312572,-82.40066367376171,0.92525575963863,-80.50145631714551,-84.27611543227921,9.511899507954212,0.0,0.35392730598020705,0.004657887327857693,0.5415913423742816,0.45375077029786065,12.0,6.0,6.0
MTD2099,6.4226,0.66,1.15,313.15,0.01,278.15,313.15,0.0,0.0,0.0,0.0,5.007820100014935,0.6483140302045178,3.6085390011859975,305.43253001415,0.0006641858661594423,277.07750254887327,313.16595308471307,75848.58918104287,-784.7957290949525,2.7033897407300036,-0.0030998654101923977,303.15,20.6279,0.974906177684406,22.354828819266338,9.339261652652345,0.8176303959047598,28.888805298565156,23.127129923604663,0.9127284179048148,32.32605439359903,19.310487226985035,0.0,6.533976479298818,9.971225574332692,0.9569774940536285,0.03648100208782768,0.00654150385854377,8.0,6.0,2.0
MTD2100,2.5809,0.66,1.15,313.15,0.01,278.15,313.15,0.0,0.0,0.0,0.0,2.6578494818242615,0.4220018038789268,3.223304007261974,307.2625737199906,0.00021989319701137288,274.83404314660294,313.2919193153648,20114.684385554923,-208.82100191803178,0.7216808670579273,-0.0008301159926182689,303.15,6.664,0.9852721129698607,-1.7155292914305331,-14.731096458044524,0.9493912394529844,-1.173807255478522,-6.935482630439015,0.994430027921999,-9.49435115132424,-22.50991831793823,7.778821859893707,8.320543895845718,0.0,0.01974536161951914,0.015060231454533111,0.9651944069259477,8.0,6.0,2.0
MTD2101,1.000387961,0.66,1.15,313.15,0.01,278.15,313.15,0.0,0.0,0.0,0.0,1.0093322687672415,0.2000001612334985,0.7600000000764442,308.3723351790812,1.3287848569529612e-06,0.00018799676124558462,370.95238331288346,3.723123925697589,-0.028350505199022293,9.824318972058652e-05,-1.1329494846393798e-07,303.15,1.0008735850000001,-101752.65295822851,-16.058744091034065,-29.074311257648056,-426.86178426050975,-69.16415578047263,-74.92583115543312,0.9263435618611439,-129.1679739193258,-142.1835410859398,113.10922982829172,60.00381813885316,0.0,2.745635090073131e-25,9.339775658221981e-14,0.9999999999999065,8.0,7.0,1.0
MTD2102,1.0003145050000002,0.66,1.15,313.15,0.01,278.15,313.15,0.0,0.0,0.0,0.0,1.0092294486557813,0.20000035249585646,0.7600000000221772,308.37057272333925,1.3285102792315246e-06,0.00033391817481237817,370.9617106719571,2.855425167866749,-0.019418795963798932,6.76319211216017e-05,-7.836995078921613e-08,298.15,1.0006974050000002,-163228.40923142183,-16.053375768165353,-29.068942934779344,-694.4681825611677,-69.05332227077778,-74.81499764573827,0.9562424390036294,-137.1093979060677,-150.1249650726817,121.05602213790235,68.05607563528991,0.0,5.164387153930585e-27,1.6665215954802867e-15,0.9999999999999982,8.0,6.0,2.0
MTD2103,1.000354756,0.66,1.15,313.15,0.01,278.15,313.15,0.0,0.0,0.0,0.0,1.009182466936529,0.2000003445762381,0.7600000000200061,308.3726258292324,1.941115539065261e-05,249.91339445872885,313.15,1.9435653915923317,-0.010081843216969776,3.578590005394289e-05,-4.218947816234666e-08,298.15,1.000635069,-205328.83644754608,-16.048571425936274,-29.064138592550265,-2966331.236972711,-4.018193662030193,-9.779869036990686,0.8991099914180387,-132.25734984924748,-145.27291701586148,116.2087784233112,128.23915618721728,0.0,5.828870289441691e-26,1.4230529239435297e-28,1.0,8.0,4.0,4.0
MTD2104,1.0001624803,0.66,1.15,313.15,0.01,278.15,313.15,0.0,0.0,0.0,0.0,1.0087382452413398,0.20000000000019308,0.760000000013832,308.378408505852,1.3278257256705374e-06,0.0002362275417890941,370.9978783927827,1.1548086694188606,-0.0016412450868965442,5.792180915236507e-06,-6.7999472116776e-09,308.15,1.0001794593,-3137757.1634119386,-16.024539983834437,-29.040107150448428,-14136.274256148381,-68.57746523424184,-74.33914060920233,0.31554230767353697,-138.72972067585536,-151.74528784246937,122.70518069202092,70.15225544161352,0.0,2.2641675523602013e-27,5.842938085128534e-16,0.9999999999999993,8.0,2.0,6.0
